Top File I/O Activity Report
File,Total IOs (#),Read Requests (#),Total Read IO,Avg Read IO,Write Requests (#),Total Write IO,Avg Write IO,Write %
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\address.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\category.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\city.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\country.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\customer.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_00000000000000b2_index_4.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_00000000000000b2_index_5.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_00000000000000b2_index_6.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\inventory.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\language.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\payment.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\rental.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\staff.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\store.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\world\city.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\world\country.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\world\countrylanguage.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\classroom.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\department.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\course.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\instructor.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\section.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\teaches.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\student.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_00000000000000b2_index_2.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\advisor.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\time_slot.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\prereq.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\shikhar.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_00000000000000b2_index_1.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\ib_logfile1,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_deleted_cache.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_deleted.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_00000000000000b2_index_3.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_config.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\actor.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_being_deleted_cache.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_000000000000042e_being_deleted.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film_text.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film_category.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film_actor.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film.ibd,0,0,0,0,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\university\takes.ibd,0,0,0,0,0,0,0,0.00
